DATE,RU3000TR
2016-02-29,5637.16
2016-03-01,5768.90
2016-03-02,5799.07
2016-03-03,5827.20
2016-03-04,5849.22
2016-03-07,5861.65
2016-03-08,5785.79
2016-03-09,5815.66
2016-03-10,5810.96
2016-03-11,5913.02
2016-03-14,5904.20
2016-03-15,5882.99
2016-03-16,5920.14
2016-03-17,5965.01
2016-03-18,5994.09
2016-03-21,5998.97
2016-03-22,5995.97
2016-03-23,5946.89
2016-03-24,5947.37
2016-03-25,.
2016-03-28,5951.16
2016-03-29,6016.24
2016-03-30,6040.28
2016-03-31,6034.05
2016-04-01,6069.58
2016-04-04,6046.92
2016-04-05,5986.05
2016-04-06,6052.28
2016-04-07,5978.75
2016-04-08,5997.40
2016-04-11,5980.76
2016-04-12,6038.54
2016-04-13,6109.89
2016-04-14,6109.53
2016-04-15,6106.90
2016-04-18,6145.63
2016-04-19,6164.26
2016-04-20,6170.39
2016-04-21,6138.42
2016-04-22,6147.39
2016-04-25,6131.94
2016-04-26,6150.54
2016-04-27,6162.57
2016-04-28,6103.73
2016-04-29,6071.45
2016-05-02,6119.25
2016-05-03,6058.89
2016-05-04,6022.87
2016-05-05,6019.14
2016-05-06,6040.67
2016-05-09,6046.09
2016-05-10,6120.59
2016-05-11,6063.48
2016-05-12,6058.59
2016-05-13,6009.74
2016-05-16,6070.41
2016-05-17,6013.03
2016-05-18,6015.88
2016-05-19,5991.02
2016-05-20,6036.44
2016-05-23,6024.60
2016-05-24,6110.85
2016-05-25,6153.40
2016-05-26,6151.02
2016-05-27,6181.70
2016-05-30,.
2016-05-31,6180.07
2016-06-01,6192.72
2016-06-02,6215.40
2016-06-03,6194.74
2016-06-06,6229.48
2016-06-07,6239.43
2016-06-08,6263.24
2016-06-09,6248.85
2016-06-10,6184.50
2016-06-13,6134.83
2016-06-14,6122.48
2016-06-15,6116.06
2016-06-16,6131.51
2016-06-17,6113.96
2016-06-20,6154.84
2016-06-21,6167.11
2016-06-22,6155.03
2016-06-23,6242.57
2016-06-24,6014.93
2016-06-27,5893.42
2016-06-28,6000.82
2016-06-29,6107.55
2016-06-30,6192.78
2016-07-01,6208.26
2016-07-04,.
2016-07-05,6159.76
2016-07-06,6195.27
2016-07-07,6194.08
2016-07-08,6293.58
2016-07-11,6319.76
2016-07-12,6367.58
2016-07-13,6365.28
2016-07-14,6394.89
2016-07-15,6391.37
2016-07-18,6406.51
2016-07-19,6394.54
2016-07-20,6425.73
2016-07-21,6402.23
2016-07-22,6433.90
2016-07-25,6414.98
2016-07-26,6422.65
2016-07-27,6414.52
2016-07-28,6425.95
2016-07-29,6438.55
2016-08-01,6429.52
2016-08-02,6382.27
2016-08-03,6408.80
2016-08-04,6412.22
2016-08-05,6468.68
2016-08-08,6464.11
2016-08-09,6468.03
2016-08-10,6449.16
2016-08-11,6479.63
2016-08-12,6475.68
2016-08-15,6500.57
2016-08-16,6462.03
2016-08-17,6470.50
2016-08-18,6489.58
2016-08-19,6481.93
2016-08-22,6481.28
2016-08-23,6498.44
2016-08-24,6461.03
2016-08-25,6456.21
2016-08-26,6444.81
2016-08-29,6479.88
2016-08-30,6470.45
2016-08-31,6454.97
2016-09-01,6456.26
2016-09-02,6489.27
2016-09-05,.
2016-09-06,6507.23
2016-09-07,6513.53
2016-09-08,6498.68
2016-09-09,6333.99
