DATE,BAMLC0A0CM
2016-01-08,1.77
2016-01-11,1.78
2016-01-12,1.80
2016-01-13,1.80
2016-01-14,1.84
2016-01-15,1.89
2016-01-18,1.89
2016-01-19,1.91
2016-01-20,1.98
2016-01-21,1.98
2016-01-22,1.96
2016-01-25,1.98
2016-01-26,1.99
2016-01-27,2.00
2016-01-28,2.01
2016-01-29,2.02
2016-01-31,2.02
2016-02-01,2.02
2016-02-02,2.06
2016-02-03,2.08
2016-02-04,2.08
2016-02-05,2.09
2016-02-08,2.13
2016-02-09,2.15
2016-02-10,2.17
2016-02-11,2.21
2016-02-12,2.20
2016-02-15,2.20
2016-02-16,2.19
2016-02-17,2.17
2016-02-18,2.16
2016-02-19,2.15
2016-02-22,2.14
2016-02-23,2.14
2016-02-24,2.14
2016-02-25,2.14
2016-02-26,2.11
2016-02-29,2.05
2016-03-01,2.02
2016-03-02,1.99
2016-03-03,1.98
2016-03-04,1.95
2016-03-07,1.93
2016-03-08,1.93
2016-03-09,1.91
2016-03-10,1.88
2016-03-11,1.85
2016-03-14,1.81
2016-03-15,1.80
2016-03-16,1.80
2016-03-17,1.78
2016-03-18,1.76
2016-03-21,1.74
2016-03-22,1.72
2016-03-23,1.72
2016-03-24,1.73
2016-03-25,.
2016-03-28,1.73
2016-03-29,1.73
2016-03-30,1.72
2016-03-31,1.70
2016-04-01,1.69
2016-04-04,1.68
2016-04-05,1.69
2016-04-06,1.69
2016-04-07,1.70
2016-04-08,1.70
2016-04-11,1.69
2016-04-12,1.68
2016-04-13,1.66
2016-04-14,1.64
2016-04-15,1.64
2016-04-18,1.63
2016-04-19,1.61
2016-04-20,1.58
2016-04-21,1.56
2016-04-22,1.55
2016-04-25,1.54
2016-04-26,1.53
2016-04-27,1.53
2016-04-28,1.52
2016-04-29,1.52
2016-04-30,1.52
2016-05-02,1.52
2016-05-03,1.53
2016-05-04,1.54
2016-05-05,1.55
2016-05-06,1.56
2016-05-09,1.56
2016-05-10,1.56
2016-05-11,1.57
2016-05-12,1.56
2016-05-13,1.57
2016-05-16,1.56
2016-05-17,1.56
2016-05-18,1.55
2016-05-19,1.56
2016-05-20,1.56
2016-05-23,1.56
2016-05-24,1.55
2016-05-25,1.55
2016-05-26,1.54
2016-05-27,1.54
2016-05-30,1.54
2016-05-31,1.54
2016-06-01,1.54
2016-06-02,1.54
2016-06-03,1.56
2016-06-06,1.55
2016-06-07,1.54
2016-06-08,1.54
2016-06-09,1.54
2016-06-10,1.56
2016-06-13,1.57
2016-06-14,1.59
2016-06-15,1.6
2016-06-16,1.61
2016-06-17,1.6
2016-06-20,1.58
2016-06-21,1.57
2016-06-22,1.56
2016-06-23,1.54
2016-06-24,1.61
2016-06-27,1.64
2016-06-28,1.63
2016-06-29,1.62
2016-06-30,1.62
2016-07-01,1.61
2016-07-04,1.61
2016-07-05,1.61
2016-07-06,1.6
2016-07-07,1.59
2016-07-08,1.57
2016-07-11,1.55
2016-07-12,1.52
2016-07-13,1.52
2016-07-14,1.5
2016-07-15,1.49
2016-07-18,1.49
2016-07-19,1.48
2016-07-20,1.48
2016-07-21,1.48
2016-07-22,1.47
2016-07-25,1.46
2016-07-26,1.47
2016-07-27,1.48
2016-07-28,1.49
2016-07-29,1.5
2016-07-31,1.5
2016-08-01,1.5
2016-08-02,1.5
2016-08-03,1.51
2016-08-04,1.51
2016-08-05,1.49
2016-08-08,1.47
2016-08-09,1.47
2016-08-10,1.46
2016-08-11,1.45
2016-08-12,1.45
2016-08-15,1.44
2016-08-16,1.43
2016-08-17,1.42
2016-08-18,1.42
2016-08-19,1.4
2016-08-22,1.41
2016-08-23,1.4
2016-08-24,1.4
2016-08-25,1.39
2016-08-26,1.38
2016-08-29,1.38
2016-08-30,1.38
2016-08-31,1.39
2016-09-01,1.39
2016-09-02,1.39
2016-09-05,1.39
2016-09-06,1.4
2016-09-07,1.4
2016-09-08,1.4
2016-09-09,1.4
2016-09-12,1.42
2016-09-13,1.42
2016-09-14,1.43
2016-09-15,1.43
2016-09-16,1.43
2016-09-19,1.42
2016-09-20,1.42
2016-09-21,1.42
2016-09-22,1.41
2016-09-23,1.41
2016-09-26,1.42
2016-09-27,1.43
2016-09-28,1.43
2016-09-29,1.43
2016-09-30,1.43
2016-10-03,1.42
2016-10-04,1.41
2016-10-05,1.4
2016-10-06,1.39
2016-10-07,1.38
2016-10-10,1.38
2016-10-11,1.37
2016-10-12,1.37
2016-10-13,1.37
2016-10-14,1.36
2016-10-17,1.37
2016-10-18,1.36
2016-10-19,1.35
2016-10-20,1.35
2016-10-21,1.35
2016-10-24,1.35
2016-10-25,1.35
2016-10-26,1.36
2016-10-27,1.36
2016-10-28,1.37
2016-10-31,1.38
2016-11-01,1.39
2016-11-02,1.4
2016-11-03,1.41
2016-11-04,1.41
2016-11-07,1.4
2016-11-08,1.39
2016-11-09,1.37
2016-11-10,1.36
2016-11-11,1.36
2016-11-14,1.36
2016-11-15,1.35
2016-11-16,1.35
2016-11-17,1.35
2016-11-18,1.36
2016-11-21,1.36
2016-11-22,1.37
2016-11-23,1.36
2016-11-24,1.36
2016-11-25,1.36
2016-11-28,1.36
2016-11-29,1.36
2016-11-30,1.36
2016-12-01,1.35
2016-12-02,1.35
2016-12-05,1.35
2016-12-06,1.34
2016-12-07,1.34
2016-12-08,1.33
2016-12-09,1.33
2016-12-12,1.32
2016-12-13,1.31
2016-12-14,1.3
2016-12-15,1.3
2016-12-16,1.3
2016-12-19,1.3
2016-12-20,1.29
2016-12-21,1.29
2016-12-22,1.29
2016-12-23,1.29
2016-12-26,.
2016-12-27,1.28
2016-12-28,1.28
2016-12-29,1.28
2016-12-30,1.29
2016-12-31,1.3
2017-01-02,.
2017-01-03,1.28
2017-01-04,1.28
2017-01-05,1.29
2017-01-06,1.28
2017-01-09,1.29
2017-01-10,1.29
2017-01-11,1.29
2017-01-12,1.29
2017-01-13,1.28
2017-01-16,1.28
2017-01-17,1.28
2017-01-18,1.29
2017-01-19,1.28
2017-01-20,1.28
2017-01-23,1.28
2017-01-24,1.27
2017-01-25,1.27
2017-01-26,1.26
2017-01-27,1.26
2017-01-30,1.26
2017-01-31,1.28
2017-02-01,1.28
2017-02-02,1.28
2017-02-03,1.27
2017-02-06,1.27
2017-02-07,1.28
2017-02-08,1.28
2017-02-09,1.28
2017-02-10,1.27
2017-02-13,1.26
2017-02-14,1.24
2017-02-15,1.23
2017-02-16,1.24
2017-02-17,1.24
2017-02-20,1.24
2017-02-21,1.24
2017-02-22,1.23
2017-02-23,1.23
2017-02-24,1.23
2017-02-27,1.22
2017-02-28,1.21
2017-03-01,1.19
2017-03-02,1.18
2017-03-03,1.18
2017-03-06,1.18
2017-03-07,1.19
2017-03-08,1.19
2017-03-09,1.21
2017-03-10,1.21
2017-03-13,1.21
2017-03-14,1.22
2017-03-15,1.23
2017-03-16,1.22
2017-03-17,1.22
2017-03-20,1.22
2017-03-21,1.22
2017-03-22,1.23
2017-03-23,1.23
2017-03-24,1.23
2017-03-27,1.23
2017-03-28,1.22
2017-03-29,1.22
2017-03-30,1.22
2017-03-31,1.24
2017-04-03,1.24
2017-04-04,1.24
2017-04-05,1.24
2017-04-06,1.24
2017-04-07,1.23
2017-04-10,1.23
2017-04-11,1.24
2017-04-12,1.24
2017-04-13,1.25
2017-04-14,.
2017-04-17,1.24
2017-04-18,1.25
2017-04-19,1.25
2017-04-20,1.25
2017-04-21,1.25
2017-04-24,1.24
2017-04-25,1.23
2017-04-26,1.23
2017-04-27,1.22
2017-04-28,1.22
2017-04-30,1.23
2017-05-01,1.23
2017-05-02,1.22
2017-05-03,1.22
2017-05-04,1.21
2017-05-05,1.21
2017-05-08,1.2
2017-05-09,1.19
2017-05-10,1.19
2017-05-11,1.18
2017-05-12,1.18
2017-05-15,1.17
2017-05-16,1.17
2017-05-17,1.18
2017-05-18,1.19
2017-05-19,1.18
2017-05-22,1.18
2017-05-23,1.17
2017-05-24,1.18
2017-05-25,1.18
2017-05-26,1.18
2017-05-29,1.17
2017-05-30,1.18
2017-05-31,1.19
2017-06-01,1.19
2017-06-02,1.19
2017-06-05,1.19
2017-06-06,1.19
2017-06-07,1.19
2017-06-08,1.19
2017-06-09,1.19
2017-06-12,1.18
2017-06-13,1.18
2017-06-14,1.18
2017-06-15,1.18
2017-06-16,1.18
2017-06-19,1.17
2017-06-20,1.17
2017-06-21,1.17
2017-06-22,1.18
2017-06-23,1.18
2017-06-26,1.17
2017-06-27,1.16
2017-06-28,1.16
2017-06-29,1.15
2017-06-30,1.15
2017-07-03,1.14
2017-07-04,1.14
2017-07-05,1.14
2017-07-06,1.13
2017-07-07,1.12
2017-07-10,1.12
2017-07-11,1.12
2017-07-12,1.12
2017-07-13,1.11
2017-07-14,1.11
2017-07-17,1.1
2017-07-18,1.1
2017-07-19,1.1
2017-07-20,1.1
2017-07-21,1.1
2017-07-24,1.09
2017-07-25,1.08
2017-07-26,1.08
2017-07-27,1.08
2017-07-28,1.08
2017-07-31,1.09
2017-08-01,1.08
2017-08-02,1.08
2017-08-03,1.09
2017-08-04,1.09
2017-08-07,1.1
2017-08-08,1.1
2017-08-09,1.12
2017-08-10,1.14
2017-08-11,1.16
2017-08-14,1.15
2017-08-15,1.14
2017-08-16,1.14
2017-08-17,1.14
2017-08-18,1.15
2017-08-21,1.15
2017-08-22,1.15
2017-08-23,1.15
2017-08-24,1.15
2017-08-25,1.14
2017-08-28,1.14
2017-08-29,1.15
2017-08-30,1.15
2017-08-31,1.16
2017-09-01,1.15
2017-09-04,1.15
2017-09-05,1.16
2017-09-06,1.16
2017-09-07,1.17
2017-09-08,1.17
2017-09-11,1.17
2017-09-12,1.16
2017-09-13,1.15
2017-09-14,1.15
2017-09-15,1.14
2017-09-18,1.13
2017-09-19,1.12
2017-09-20,1.11
2017-09-21,1.11
2017-09-22,1.11
2017-09-25,1.11
2017-09-26,1.10
2017-09-27,1.09
2017-09-28,1.08
2017-09-29,1.06
2017-09-30,1.07
2017-10-02,1.06
2017-10-03,1.05
2017-10-04,1.04
2017-10-05,1.04
2017-10-06,1.04
2017-10-09,1.03
2017-10-10,1.03
2017-10-11,1.03
2017-10-12,1.03
2017-10-13,1.04
2017-10-16,1.03
2017-10-17,1.03
2017-10-18,1.02
2017-10-19,1.02
2017-10-20,1.01
2017-10-23,1.01
2017-10-24,1.00
2017-10-25,1.00
2017-10-26,1.00
2017-10-27,1.00
2017-10-30,1.00
