DATE,RU3000TR
20091201,2833.57
20091202,2838.96
20091203,2814.27
20091204,2835.01
20091207,2829.48
20091208,2801.52
20091209,2810.98
20091210,2825.65
20091211,2838.17
20091214,2862.13
20091215,2847.78
20091216,2854.05
20091217,2821.04
20091218,2838.84
20091221,2869.35
20091222,2882.17
20091223,2892.78
20091224,2908.08
20091225,.
20091228,2910.47
20091229,2906.7
20091230,2907.19
20091231,2877.13
20100101,.
20100104,2925.36
20100105,2933.82
20100106,2937.47
20100107,2949.9
20100108,2959.37
20100111,2963.29
20100112,2933.19
20100113,2959.92
20100114,2967.06
20100115,2934.21
20100118,.
20100119,2971.76
20100120,2940.52
20100121,2887.24
20100122,2824.79
20100125,2836.95
20100126,2824.1
20100127,2837.79
20100128,2802.54
20100129,2773.42
20100201,2813.77
20100202,2849.54
20100203,2834.37
20100204,2744.5
20100205,2752.57
20100208,2729.48
20100209,2765.58
20100210,2760.99
20100211,2791.36
20100212,2789.49
20100215,.
20100216,2840.21
20100217,2853.65
20100218,2872.46
20100219,2879.36
20100222,2876.54
20100223,2840.66
20100224,2868.02
20100225,2864.34
20100226,2867.44
20100301,2901.12
20100302,2911.25
20100303,2912.41
20100304,2922.85
20100305,2965.72
20100308,2966.79
20100309,2972.59
20100310,2988.45
20100311,3000.81
20100312,3000.96
20100315,3000.25
20100316,3024.67
20100317,3042.96
20100318,3039.73
20100319,3021.33
20100322,3040.56
20100323,3064.22
20100324,3046.43
20100325,3037.79
20100326,3039.62
20100329,3058.16
20100330,3059.34
20100331,3048.17
20100401,3071.69
20100402,.
20100405,3101.69
20100406,3108.59
20100407,3092.24
20100408,3100.95
20100409,3122.04
20100412,3127.89
20100413,3131.21
20100414,3169.74
20100415,3172.32
20100416,3123.08
20100419,3131.77
20100420,3160.26
20100421,3160.01
20100422,3172.01
20100423,3196.7
20100426,3183.12
20100427,3108.29
20100428,3126.41
20100429,3170.2
20100430,3113.95
20100503,3157.34
20100504,3078.34
20100505,3054.6
20100506,2954.24
20100507,2902.99
20100510,3034.85
20100511,3029.25
20100512,3078.82
20100513,3043.55
20100514,2983.98
20100517,2987.89
20100518,2944.38
20100519,2926.08
20100520,2808.46
20100521,2851.28
20100524,2815.89
20100525,2816.24
20100526,2805.69
20100527,2902.85
20100528,2867.95
20100531,.
20100601,2812.49
20100602,2887.56
20100603,2902.46
20100604,2797.36
20100607,2754.9
20100608,2780.19
20100609,2767.62
20100610,2851.25
20100611,2868.86
20100614,2866.8
20100615,2934.84
20100616,2931.23
20100617,2933.23
20100618,2936.18
20100621,2922.42
20100622,2872.59
20100623,2864.73
20100624,2815.89
20100625,2827.94
20100628,2821.11
20100629,2729.76
20100630,2703.08
20100701,2692.74
20100702,2678.58
20100705,.
20100706,2686.54
20100707,2774.12
20100708,2801.58
20100709,2824.46
20100712,2821.58
20100713,2871.16
20100714,2869.51
20100715,2870.05
20100716,2784.95
20100719,2801.32
20100720,2835.97
20100721,2798.42
20100722,2865.35
20100723,2894.01
20100726,2930.69
20100727,2924.18
20100728,2900.36
20100729,2889.02
20100730,2890.74
20100802,2952.67
20100803,2936.42
20100804,2957.88
20100805,2951.12
20100806,2940.44
20100809,2958.97
20100810,2935.55
20100811,2850.1
20100812,2835.69
20100813,2822.62
20100816,2825.55
20100817,2863.52
20100818,2869.09
20100819,2818.58
20100820,2809.87
20100823,2795.31
20100824,2754.52
20100825,2767.5
20100826,2746.31
20100827,2796.47
20100830,2753.6
20100831,2754.66
20100901,2838.65
20100902,2866.79
20100903,2905.57
20100906,.
20100907,2869.35
20100908,2888.47
20100909,2900.5
20100910,2913.83
20100913,2951.8
20100914,2949.3
20100915,2960.12
20100916,2957.85
20100917,2962
20100920,3010.08
20100921,3000.54
20100922,2984.05
20100923,2959.37
20100924,3025.63
20100927,3009.98
20100928,3027.46
20100929,3022.66
20100930,3014.75
20101001,3027.92
20101004,3001.95
20101005,3066.02
20101006,3062.04
20101007,3057.61
20101008,3079.36
20101011,3080.39
20101012,3092.35
20101013,3116.86
20101014,3105.55
20101015,3111.08
